"WORD","TYPE_NR"
"Abbott","1"
"Abelis","1"
"Abramas","1"
"Abramova","1"
"Abraomas","1"
"Abrutytė","1"
"Achilas","1"
"Ada","1"
"Adamas","1"
"Adamkus","1"
"Adažiai","1"
"Adenaueris","1"
"Adleris","1"
"Adolfas","1"
"Adomaitis","1"
"Adomas","1"
"Adorno","1"
"Adrifis","1"
"Adrija","1"
"Adsonas","1"
"Adžani","1"
"Aelita","1"
"Afrika","1"
"Agata","1"
"Agnesė","1"
"Agnutė","1"
"Agnė","1"
"Agrikola","1"
"Agripa","1"
"Agrobalt","1"
"Aguona","1"
"Aidas","1"
"Aidukas","1"
"Aiks","1"
"Airija","1"
"Aistmarės","1"
"Aiva","1"
"Aišbė","1"
"Aišė","1"
"Ajaksas","1"
"Akmena","1"
"Akmenė","1"
"Akvariusas","1"
"Akšobhja","1"
"Alanas","1"
"Alandai","1"
"Alaušas","1"
"Albanija","1"
"Albertas","1"
"Albertynas","1"
"Albinas","1"
"Albrecht","1"
"Albrechtas","1"
"Aldona","1"
"Aleister","1"
"Aleknaitė","1"
"Aleksandras","1"
"Aleksandravičius","1"
"Aleksandrija","1"
"Aleksas","1"
"Aleksis","1"
"Aleksotas","1"
"Alenas","1"
"Alesionka","1"
"Alexander","1"
"Alfonsas","1"
"Alfred","1"
"Alfredas","1"
"Algimantas","1"
"Algirdas","1"
"Algis","1"
"Algminas","1"
"Aliaska","1"
"Alina","1"
"Alis","1"
"Aliulis","1"
"Allport","1"
"Almantas","1"
"Almsik","1"
"Alna","1"
"Aloyzas","1"
"Alpės","1"
"Alto","1"
"Alunanas","1"
"Alver","1"
"Alvydas","1"
"Alytus","1"
"Alytė","1"
"Alžyras","1"
"Amarilė","1"
"Ambraziejus","1"
"Amerika","1"
"Amitabha","1"
"Amoghasiddha","1"
"Amsterdamas","1"
"Amundsenas","1"
"Ana","1"
"Anapilis","1"
"Anatolijus","1"
"Andai","1"
"Andersenas","1"
"Andersonas","1"
"Andrašienė","1"
"Andre","1"
"Andrejus","1"
"Andriejus","1"
"Andrijauskas","1"
"Andris","1"
"Andriukaitis","1"
"Andrius","1"
"Andriušienė","1"
"Andriuškevičius","1"
"Andriškevičius","1"
"Andžejus","1"
"Andželas","1"
"Anelė","1"
"Angelas","1"
"Angeles","1"
"Angeliukas","1"
"Angelė","1"
"Anglija","1"
"Anicetas","1"
"Anisina","1"
"Anna","1"
"Anodija","1"
"Antakalnis","1"
"Antanas","1"
"Antanavičius","1"
"Antarktida","1"
"Antazavė","1"
"Anthony","1"
"Anton","1"
"Antonas","1"
"Antonijus","1"
"Antverpenas","1"
"Anupras","1"
"Anykščiai","1"
"Anzelma","1"
"Apanavičius","1"
"Apolonas","1"
"Aquino","1"
"Arabija","1"
"Arafatas","1"
"Arbačiauskas","1"
"Arbo","1"
"Arden","1"
"Argentina","1"
"Arija","1"
"Ariogala","1"
"Aristotelis","1"
"Arizona","1"
"Ariźsas","1"
"Armanis","1"
"Armena","1"
"Armitage'as","1"
"Armonas","1"
"Armstrong","1"
"Armėnija","1"
"Arno","1"
"Arnoldas","1"
"Arnė","1"
"Aronsonas","1"
"Artūras","1"
"Arvidsonas","1"
"Arvydas","1"
"Arėjas","1"
"Aršty","1"
"Arūnas","1"
"Asevičius","1"
"Aspazija","1"
"Asta","1"
"Astra","1"
"Astrauskas","1"
"Astrida","1"
"Atalas","1"
"Atalidas","1"
"Atatiurkas","1"
"Atlanta","1"
"Atlantas","1"
"Atlantida","1"
"Atpirkėjas","1"
"Atėnai","1"
"Atėnė","1"
"Audi","1"
"Audrius","1"
"Audronė","1"
"Audrys","1"
"Augis","1"
"Augustas","1"
"Augustdorfas","1"
"Aukstinšas","1"
"Auksė","1"
"Aukštaitija","1"
"Aukštujai","1"
"Aukšžemė","1"
"Aurabankas","1"
"Aurelija","1"
"Aurelijus","1"
"Auseklis","1"
"Australija","1"
"Austrija","1"
"Aušra","1"
"Aušrinė","1"
"Avalokitešvara","1"
"Avelanžas","1"
"Averka","1"
"Avicena","1"
"Avivas","1"
"Ayur","1"
"Azerbaidžanas","1"
"Azija","1"
"Aštrauskas","1"
"Ašva","1"
"AŽŪM","2"
"Baaderis","1"
"Baba","1"
"Babilius","1"
"Babilonija","1"
"Babtai","1"
"Bachas","1"
"Badenas","1"
"Bagdadas","1"
"Bagdonas","1"
"Bagdonavičius","1"
"Bairoitas","1"
"Bajerburgas","1"
"Bajeris","1"
"Bajern","1"
"Bajoras","1"
"Baker","1"
"Bakienė","1"
"Balbierius","1"
"Baležentis","1"
"Balkanai","1"
"Balkevičius","1"
"Balsys","1"
"Baltakis","1"
"Baltaragis","1"
"Baltarusija","1"
"Balticbank","1"
"Baltija","1"
"Baltika","1"
"Baltoskandija","1"
"Baltramiejus","1"
"Baltrušaitis","1"
"Baltušis","1"
"Baltušnikas","1"
"Balys","1"
"Balčiūnaitė","1"
"Balčiūnas","1"
"Bambena","1"
"Banaitis","1"
"Bandura","1"
"Bangladešas","1"
"Bankokas","1"
"Banys","1"
"Baptista","1"
"Barakas","1"
"Baranauskas","1"
"Barauskas","1"
"Barbara","1"
"Barbora","1"
"Barbė","1"
"Barcelona","1"
"Barda","1"
"Bardiškės","1"
"Barkevičienė","1"
"Barklajus","1"
"Barnes","1"
"Baronas","1"
"Barselona","1"
"Barsukovas","1"
"Bartašiūnas","1"
"Bartkevičius","1"
"Bartlingas","1"
"Barysienė","1"
"Barzdai","1"
"Basanavičius","1"
"Baskas","1"
"Basleris","1"
"Batoras","1"
"Batūra","1"
"Baublys","1"
"Baueris","1"
"Baumanis","1"
"Bavarija","1"
"Bazelis","1"
"Bačianskas","1"
"Bačiliūnas","1"
"Bačkis","1"
"Bea","1"
"Beckettas","1"
"Beer-seba","1"
"Beinortas","1"
"Beirutas","1"
"Beit","1"
"Belfastas","1"
"Belgija","1"
"Belgradas","1"
"Beliuga","1"
"Benas","1"
"Bendinskas","1"
"Benediktas","1"
"Benet","1"
"Benetton","1"
"Benius","1"
"Benjaminas","1"
"Benz","1"
"Bepirštis","1"
"Beragė","1"
"Bergas","1"
"Bergmanas","1"
"Bergsonas","1"
"Beris","1"
"Berkovicas","1"
"Berkowitz","1"
"Berlingas","1"
"Berlinn","1"
"Berlynas","1"
"Bernaras","1"
"Bernardas","1"
"Bernardinas","1"
"Bernatonis","1"
"Berzinis","1"
"Betliejus","1"
"Bhaktivedanta","1"
"Bharati","1"
"Biadžoti","1"
"Bialystokas","1"
"Biliūnas","1"
"Binkis","1"
"Biolot","1"
"Birka","1"
"Birmingamas","1"
"Birutė","1"
"Birštonas","1"
"Biržai","1"
"Biržiška","1"
"Bismarkas","1"
"Bitė","1"
"Bizantija","1"
"Bičiūnas","1"
"Bičkauskas","1"
"Bišopas","1"
"Bjornsonas","1"
"Blateris","1"
"Blavatsky","1"
"Bleikas","1"
"Blekė","1"
"Bliūdžius","1"
"Bliūdžiuvienė","1"
